Name	Resistance
barcode01	1
barcode02	1
barcode03	1
barcode04	1
barcode05	1
barcode06	1
barcode07	1
barcode08	1
barcode09	1
barcode10	1
barcode11	1
barcode12	1
barcode13	1
barcode14	1
barcode15	1
barcode16	1
barcode17	1
barcode18	1
barcode19	1
barcode20	1
barcode21	1
barcode22	1
barcode23	1
barcode24	1
barcode01	1
barcode02	1
barcode03	1
barcode04	1
barcode05	1
barcode06	1
barcode07	1
barcode08	1
barcode09	1
barcode10	1
barcode11	1
barcode12	1
barcode13	1
barcode14	1
barcode15	1
barcode16	1
barcode17	1
barcode18	1
barcode19	1
barcode20	1
barcode21	1
barcode22	1
barcode23	1
barcode24	1
barcode25	0
barcode26	0
barcode27	0
barcode28	0
barcode29	0
barcode30	0
barcode31	0
barcode32	0
barcode33	0
barcode34	0
barcode35	0
barcode36	0
barcode37	0
barcode38	0
barcode39	0
barcode40	0
barcode41	0
barcode42	0
barcode43	0
barcode44	0
barcode45	0
barcode46	0
barcode47	0
barcode48	0
